client,tau=5,tau=10,tau=15,tau=20,tau=25,tau=30,agg_pnl,delta_star
A,0.003579,0.006961,0.010075,0.014161,0.01719,0.019999,0.011994,0.0
B,0.002235,0.004501,0.006886,0.009381,0.011958,0.014236,0.008199,0.0
C,0.001057,0.002228,0.002823,0.002528,0.003359,0.002878,0.002479,0.0
D,-0.002051,-0.00472,-0.008093,-0.012143,-0.016162,-0.020433,-0.0106,0.009614
E,-0.004805,-0.01005,-0.015766,-0.021267,-0.028295,-0.035887,-0.019345,0.018983
F,-0.008198,-0.017022,-0.026584,-0.036909,-0.048531,-0.062319,-0.03326,0.032866
